unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1661385600,2022-08-25 00:00:00,BTC/USD,21364,21813,21319,21571,1134.96366241,24482301.161846112
1661299200,2022-08-24 00:00:00,BTC/USD,21523,21892,21142,21372,1825.65585841,39017917.00593852
1661212800,2022-08-23 00:00:00,BTC/USD,21404,21672,20899,21520,1237.15547461,26623585.8136072
1661126400,2022-08-22 00:00:00,BTC/USD,21517,21530,20901,21411,1428.98968096,30596098.05903456
1661040000,2022-08-21 00:00:00,BTC/USD,21150,21778,21070,21514,1070.76255950,23036385.705082998
1660953600,2022-08-20 00:00:00,BTC/USD,20840,21368,20769,21146,1475.27766281,31196221.45778026
1660867200,2022-08-19 00:00:00,BTC/USD,23192,23202,20785,20841,3558.42097480,74161051.53580679
1660780800,2022-08-18 00:00:00,BTC/USD,23348,23593,23103,23201,888.93580166,20624199.53431366
1660694400,2022-08-17 00:00:00,BTC/USD,23866,24448,23176,23340,1814.51630224,42350810.4942816
1660608000,2022-08-16 00:00:00,BTC/USD,24103,24250,23673,23867,761.78640254,18181556.06942218
1660521600,2022-08-15 00:00:00,BTC/USD,24324,25212,23782,24110,1764.96054871,42553198.8293981
1660435200,2022-08-14 00:00:00,BTC/USD,24459,25053,24161,24320,1360.86975366,33096352.4090112
1660348800,2022-08-13 00:00:00,BTC/USD,24421,24900,24301,24456,891.42169723,21800609.02745688
1660262400,2022-08-12 00:00:00,BTC/USD,23957,24459,23615,24407,1258.79271631,30723353.826978173
1660176000,2022-08-11 00:00:00,BTC/USD,23961,24921,23867,23959,1964.20432050,47060371.3148595
1660089600,2022-08-10 00:00:00,BTC/USD,23151.68,24228,22668.57,23964,2251.38844100,53952272.600124
1660003200,2022-08-09 00:00:00,BTC/USD,23811.29,23927.44,22880.22,23164.78,1206.11169091,27939311.97535815
1659916800,2022-08-08 00:00:00,BTC/USD,23177.72,24246.06,23169.64,23821.68,1845.04091771,43951974.328593954
1659830400,2022-08-07 00:00:00,BTC/USD,22946,23411.55,22855.14,23187.62,691.38337380,16031534.945992354
1659744000,2022-08-06 00:00:00,BTC/USD,23326.5,23354.54,22919.76,22956.61,672.14529689,15430177.444037944
1659657600,2022-08-05 00:00:00,BTC/USD,22630.14,23478,22587.94,23326.4,2070.35989801,48294043.12494047
1659571200,2022-08-04 00:00:00,BTC/USD,22830.37,23228.77,22400,22615.24,1537.96629545,34781476.88351266
1659484800,2022-08-03 00:00:00,BTC/USD,22997.07,23642.14,22686.12,22835.88,1306.29502305,29830396.390967038
1659398400,2022-08-02 00:00:00,BTC/USD,23291.67,23468.33,22665.98,23001.52,1441.50641868,33156838.719396394
1659312000,2022-08-01 00:00:00,BTC/USD,23287.38,23511.50,22861.00,23282.92,1310.17180502,30504625.322536256
1659225600,2022-07-31 00:00:00,BTC/USD,23652.53,24190.09,23241.00,23322.53,1624.15172546,37879327.34159262
1659139200,2022-07-30 00:00:00,BTC/USD,23777.85,24676.00,23523.29,23644.58,1739.57494563,41131518.96794419
1659052800,2022-07-29 00:00:00,BTC/USD,23856.91,24445.00,23438.50,23785.31,2536.49166787,60331240.632704996
1658966400,2022-07-28 00:00:00,BTC/USD,22972.22,24198.95,22600.00,23853.11,3463.79018298,82622168.25154206
1658880000,2022-07-27 00:00:00,BTC/USD,21266.14,23112.90,21047.70,22969.04,2976.18882906,68360200.2622323
1658793600,2022-07-26 00:00:00,BTC/USD,21314.26,21344.09,20700.13,21259.78,1965.57798404,41787755.51353391
1658707200,2022-07-25 00:00:00,BTC/USD,22589.47,22673.68,21250.00,21306.56,2128.78016831,45356982.38290712
1658620800,2022-07-24 00:00:00,BTC/USD,22468.70,23006.77,22272.23,22595.81,681.19673676,15392192.036448978
1658534400,2022-07-23 00:00:00,BTC/USD,22696.19,23005.68,21944.47,22468.69,1010.85783614,22712651.354300454
1658448000,2022-07-22 00:00:00,BTC/USD,23166.09,23760.87,22512.42,22682.26,2025.58385843,45944819.72871245
1658361600,2022-07-21 00:00:00,BTC/USD,23217.00,23430.33,22340.34,23163.34,2267.47408756,52522273.231342055
1658275200,2022-07-20 00:00:00,BTC/USD,23392.04,24280.30,22893.95,23208.53,4052.68459237,94056851.9425569
1658188800,2022-07-19 00:00:00,BTC/USD,22439.63,23800.00,21578.45,23405.02,4682.35297064,109590564.92488863
1658102400,2022-07-18 00:00:00,BTC/USD,20786.76,22760.04,20757.29,22435.04,4288.35687434,96209458.01009288
1658016000,2022-07-17 00:00:00,BTC/USD,21198.34,21664.52,20751.08,20801.85,1497.20354125,31144603.48455131
1657929600,2022-07-16 00:00:00,BTC/USD,20823.70,21577.00,20472.68,21195.49,1740.63926769,36893702.19193072
1657843200,2022-07-15 00:00:00,BTC/USD,20569.17,21186.35,20368.70,20835.39,1581.83012930,32958047.657715924
1657756800,2022-07-14 00:00:00,BTC/USD,20225.24,20880.00,19608.47,20577.23,2574.75885317,52981405.11621531
1657670400,2022-07-13 00:00:00,BTC/USD,19337.91,20367.88,18905.55,20232.35,3196.86413812,64680074.14489218
1657584000,2022-07-12 00:00:00,BTC/USD,19948.55,20036.24,19237.42,19321.14,1738.03082444,33580736.88332066
1657497600,2022-07-11 00:00:00,BTC/USD,20851.14,20858.75,19869.00,19949.71,1381.03847332,27551317.04157674
1657411200,2022-07-10 00:00:00,BTC/USD,21581.98,21593.73,20629.99,20856.08,1398.91806277,29175947.030576143
1657324800,2022-07-09 00:00:00,BTC/USD,21592.69,21955.18,21311.36,21588.35,865.38701575,18682277.781466514
1657238400,2022-07-08 00:00:00,BTC/USD,21620.85,22401.00,21164.07,21584.14,3352.94753796,72370489.07198395
1657152000,2022-07-07 00:00:00,BTC/USD,20546.29,21847.25,20237.58,21643.56,3422.57159508,74076633.67240968
1657065600,2022-07-06 00:00:00,BTC/USD,20164.65,20648.76,19750.16,20547.45,2093.38193195,43013660.577646025
1656979200,2022-07-05 00:00:00,BTC/USD,20209.02,20720.00,19281.82,20168.63,2882.22647228,58130559.29562058
1656892800,2022-07-04 00:00:00,BTC/USD,19296.88,20319.88,19032.44,20209.53,2016.08200690,40744069.80090575
1656806400,2022-07-03 00:00:00,BTC/USD,19232.76,19616.43,18763.96,19294.46,1438.93649433,27763502.63239041
1656720000,2022-07-02 00:00:00,BTC/USD,19263.41,19425.08,18960.00,19228.25,1478.97411836,28438084.09135567
